OXYKQ AGVTF XRCRO XHVZR PVWGH VIYMI QVODM IIVAA CVEBR JIUEA 
DENSJ FVTED NZMSD IVGYI DMGSL PVXFQ AGVGZ XHBGG ZQEYN LXVOJ 
UVCZK AIYMD LUQEB QYZOO CQOUY ZYCTJ FRVUA DEJSD IIYUJ CESEN 
LNQSL XHZDI DHPGN LHXZM VNOJP FSHWJ DMCYU GDVKU AAEUJ QHODM 
XGXTJ FRVUA DEJSD CJOGP DIQWE UPZJI KVXUH CRZCA VNJGO CNJMH 
UPZED GYZUI UVOOB ZEZDP EVZOT ZHPOQ AGVGA CVVAH DXGGO KKYYP 
LGZOT ZHPOQ AGVLJ KESEJ GEZUQ LRVWP CEPLP FRVUA DEJSD XGXLJ 
KRWQF ZRVGJ HZGGO KKYYP LGCKM AESEX PXYMH FTJUJ FYZOO ASHEV 
ZGYSD CEMKR UZPOP UVLQN VHPFU XYNSU IQOQH QZGQF LDRZO AYJOZ 
GEAZO AYJOM UHWTO ZXGGP FRVUA DEJSD CZGGO KKYYP LGCZD CEMKR 
UZPOM ZGCYU GDVZJ FRJOM UHWTO ZXGGP FRVUA DEJSD CZGGO KKYYP 
LGCQH QZGQF LDRZO AYLSU AZGGO KKYYP LGCDJ KVJOM UHWTO ZXGGQ 
LHZZD CEMKR UZPOM IXMEP FRVUA DEJSD CZVEQ IXMEP FRVUA DEJSD 
CYPUH ZGCYU GDVZJ FRLSU AZGGO KKYYP LGCDJ KVJOM UHWTO ZXGGH 
FAHWJ DMJYH IZGGO KKYYP LGCZD CEMKR UZPOM ZGCYU GDVZJ FRJOM 
UHWTO ZXGGP UVLZD CEMKR UZPOM ZGCYU GDVZJ FRJOM UHWTO ZXGGP 
FRVUA DEJSD CVGCX PXYMP UVLQN AGXRU LSMBQ HXMDZ XVGCR LGCYU 
GDVZJ FGZVH FTJUJ FYZOO DXGGO KKYYP LGHZV MHZBG MVUZD MNPTG 
AGXQF LDRQP QJMEI JGZVH FTJUJ FYZOO MNPTG MVUZD PZCYS MXAWH 
HELBU QZGEQ ZEZDP FAZOO AYVSZ CVERO ZEZDM AQEYZ XHVSZ CVERO 
AGXWP CEJLE LKTBD UEPWI MVQYS ARVBO AYZOO CJQSR JRJOE LKMTJ 
FRVUA DEJSD GRZYS ANHWJ DMZOT ZHPOQ AGVZD CEZBB LFVAH MNPTG 
AGBZU LGLED UIGCN LHZBR TZVEQ IIYUJ GRZZO AYFSA KNOQH PGPYH 
UPOYF XJZWM XHZCJ ZEFSA KRZWN FXVEO TIVZD UPZLJ PNPVP FSVAH 
MICZR ZGXED UIVZJ FXNBD PJQSR JIVWH NVQZJ HGZGO ZGUZP CAJDH 
FZXZQ AGVAH OVNBA PEBBF GVPLX LESCP IVGBD OAJDH FZCEQ OZLED 
AYXZQ AGZDD AUYSQ IIGCF MNPTG PIHEF KNORS CRGEL AGBZU LGLED 
UNHWJ DMHEV ZGQZM UIXPI FDZCP IVGQE OZLED PVNYQ XHUZD OZLED 
ZEZDP FAZOO AYVSZ CVERO PIHEF YZXYS VEQBX ANCEZ PVNYQ XHUZD 
ZEZDM AQEYF AELBG ANOQH PNHWJ DMQBX ANEBU UXEGH VQVED ONJGO 
UPZWR LGCYU GDVZJ FZCBD XNVEU FIVZT AEPYS ADPOM UHWTO ZXGED 
NZMSD IVGYL TZYAF AECJJ GEZDZ LHOUP POYAI FSZYS ATOWA ARPLB 
ZYZOI FAXZQ AGGEL AGBZU LGLED UNYSD CEMKR UZPOB ZYZOB ZYZOX 
ZSHUH XMHEV ZGHWJ DMZOB MNPTG MZUQU AIROH YDPDQ XGXTJ IYZOO 
CNOGO XRVED OXNHP IRYSD CEMKR UZPOQ XDMSM FVTTJ IYOOB JXHWH 
KMPQF AHGEL DXLDI FACTS LGJOV CDSSD ZGUOH YDPDQ XGXYJ KIGYJ 
KIGOH YDPDQ XGXQI PDOII KJOWR XLOUD AUYSQ IIGCB ZIKCP XLGEL 
DXLDI FAUBX XHMSV XJOUU LGZVR LYLBD ONOGK PXQBM ENPOH YDPDQ 
XGXGA IHLGA IEJYF ARWDQ XHFSN JGPVD MQXGU ARWWO CJZFP FAPTA 
IVGYR AGVEU PZGEX HRWDQ XHFSN JGPVD MQXGU ARWWO CDZOO AHQZD 
AJNQE DVGYH KNJOH MFMJI FAHWA AEVUB MNWEV IIJWR LYOOB DVGYH 
KNJOH MFMKM CVQWQ LHJBU UOVYU IXMZI KEFFQ XZQTJ IIGCR AGVEU 
PZGEX HUJWF ZILFI CIMTS UEUBM XHYAR CKLCH OKCER UZPOB AEZUQ 
ZGJGO ZDMEM GNVGM GJCER UZPOZ KXHEX ASJOO TVPUH IESEU AVAZM 
UROKD CJECM YPZUH CKZOB UPZSU AYHEV ZGEUJ LFVAP CJECM ZRVAH 
UHJPP XNLBZ VZGFA ZGOUP QPVBU KXTXA AHFTH PNWED OQMSJ HJZFP 
FESEJ KVLWI MVQYS VNHYS AHZCJ ARGSO AWJGO XKGGX VACVS AHZGA 
AGXYS AXMEQ MVUZD VHPSN XRCKQ AESEU AVAZM UROKD CJECM YPZUH 
CKYSD CZXEU UPZDI VUSEU AVQEQ AGVGJ HKOUH IIERH OEPYS ADZWF 
ZGCYS XETSA PAHEW GVMZH OFPUA ZGOQH DIWGH GRVVJ ANZDH FECSN 
GYORO LESEM XYZTH PNHKO DIGOJ UJZCP CEJOV GZCAH OKCZD QXGWE 
LGZXA AHFED OQMSJ HRWQM ADVZJ FQMSX ARHEV ZGVAH LHZDO TVMEB 
LVCOJ UVAZM UIGSD XAORO ZTZKD CJECM YPZUH CKNSU XNQOV ADJYH 
MZVPH DEPUM AGXYS AXMEQ MVUZD FXVEN LHVAH FDOGH UPZRU LXNYS 
XEGSA CJECM AWJGO CZCGP IZQBU UXMEN UPEWX XRCKQ ARWTS XRVUA 
DEWUH AWJGO CIGCO TIVGA DXGGO KKYYI CZLZF XHLBZ YPZUH UKEWH 
CZGKO ZYZGI KVVAH OXLBP FIGCH PVLED URPLM XHZYS ADPCJ IIJOO 
TVGYS AHZEC ZRVGI FVQEQ AGVKP FKCKR TESBO MXVAA XGXKR LNQZB 
AZGGL ZESSO TVMXA AHJEM UPJGQ AIGGO TIVZN MXVAJ UPZUR LNQZB 
ZGUEF AYZOO CIMEP FIVAH FESEW GVMJN LHWVP PNOOM YVMZD DXMUH 
DEQJH FAGSO AJZFP FESEJ KVLYS AHZEC ZRVGI FVARF ZDJYI OIEYP 
NVWOM MQXGL TVMEM PVWLU XDWOD HXMBF PGQEA DZVEO YXVAU AVEUJ 
MVCED OESEJ KVLQH QZGYS AXMEQ UPZUH AWJGO CIGEC VNJTP UIXBZ 
UZBEA FRHRB CUSEU ARQEJ PVNYN KIYKR OXVOR OXVWJ QNZLO HHOTF 
LSWOU ZSSYF LSWUP QPVLJ KIQWD PVQSV GDJYH UUPYS KVZRU LJZGH 
FAVAH LHZDM GJCER UZPOZ KXHEM MVUZD UPZSU AYVAH KVXSH CGPYH 
SZCYI GGCQZ ORTZO TGUEF LSWBD ORPDH QIQEN UFMBR FKQSV GHJFS 
UDJYH UUPYS KVZRU LJZGH FAVAH LHZDX ASJOO TVPUH IESEU AVAZM 
UROOJ FVARF ZDJYI OIEYP NVWOM MQXGL ZESGF AXQEN UGWUP QPVTP 
UVVVJ UPMEH VHPQH CVGCO TVPUH IRWQM ADVZJ FQMSX ARHEV ZGVAH 
LHZDO TVMEH SZCYM XGPOH SQQZR ZEGSD XAORO ZTZKD CJECM YZVAM 
PVPWH HEGKU ZSSYR ZEZYL LESUH AQMSX ARZOB UPZSU AYCKX CVYYP 
LGUED AHOWU ARWWO CJZFP FESEJ KVLYS AHZCJ ARGSO AWJGO XKGGW 
MQXGL ZESQP FXLGW HHOTA IUSEU AYJGO TVQEI CEGKQ MVMGA DPVAI 
UJJOJ IYHZD LYLQP FXLDX ZGPDQ FSZXR ZEZFI CIMTS AGXYS AXMEQ 
MVUZD UPZSU AYVAH KVZNP CECBD LGZNZ PZYZO FXGBB XQVZT AKGGW 
MQXGL ZESGF AGQEN UFMBR BHJFS UKNUI DCYZO AJJYT ADVSU CVGCO 
TVPUH IJZFP FESEJ KVLYS AHZEC ZRVGI FVARF ZDJYD LGOCI VEJPH 
GGCXX VACVP UPCWH LNZLO GFMBR DVJWW FHJFS UDJYH QICBU DPZOB 
UPZSU AYCER UZPOZ KXHBX ZNJGO ZDMEM GNVGM GJCER UZPOJ FVCZB 
AAZUU LHHEV ZGVAH LHZDO TVMEH SZCYM XGZNZ PZYZO GGCEZ CZQSD 
LRZQZ ORTZO TRNUI DGZRM ZNPOF LSWTP UVHZO NVYYJ KRZOB UPZSU 
AYHEV ZGVAH LHZDO TVMEH SZCYM XGPOH SQQZR ZEWOM AQCZF LGPGH 
MQXGL ZESGN KIYED AQCZF LGQSV GDJYH MZVPH DEPUM AGXYS AXMEQ 
MVUZD UPZSU AYVAH KVXSH CGPYH SZCYM XKGGH VRJWJ FXCEX VACVP 
UPCWH BXQEN UFMBR FVEGP PXGWJ QNZLO FVEGP PXGUP QPVWJ QKMZV 
TEYZO AJJYT ADVSU CVGCO TVPUH IJZFP FESEJ KVLLJ KIGJB ANVBL 
TVMEB ANVBO TVMEH SZCYM XGPOH SQQZR ZEWOM LNZLO HHOTB ANVBU 
ZSSYD OVQYI LRZQZ ORTZO TRPWH HEGCH PEOWJ QKMZV TEYZO AJJYT 
ADVSU CVGCO TVPUH IRWQM ADVZJ FETSM ZAZCH KHPUX ASJOO TVPUH 
IESEU AVAZM UROOJ FVARF ZDJYA FRZRM ZNPOO CVHRB CUJYS CFMBR 
FVEGP PXGWJ QKYZO AJJYT ADVSU CVGCO TVPUH IJZFP FESEJ KVLYS 
AHZCJ ARGSO AWJGO XKGGH VRJWJ FECEX VACVP UPCWH BXQEN UFMBR 
FVEGP PXGWJ QNZLO AQCZF LGMZV TEQSV GHJFS UDJYH MZVPH DEPUM 
AGXYS AXMEQ MVUZD UPZQP MNJSV KIEAE MZHZO AYVVJ UPMEH VHPQH 
CGOWJ FIGCA HVJFH FVTQF LDRSD UPZRJ YVMSN UUPYS KVZBD OFPKU 
VHPQH CGZVX PXYMH IYOOA CDMZZ UJJQP UVLQP UTZTO LHCAX GPMDI 
FQLZF UVMGH FBMBB TIRUP CPGBD XGXGT AGRBO ARSOH YJQSR JIMEX 
ZEBER UXMGJ VEJDI PGZVX PXYMP FVLRU LDZEB ZGUGJ HESEO TZMYE 
CVYSD OIGOA XNOTQ COLRJ CZWDJ FESEJ KOPLR LYEKO ZGURI QVCBR 
IGZVE LHROE GROQP MZVEQ QICBU DPTFI CIMTS FVTQF LDROJ UVCLJ 
KJJYZ KXHEM AYJOI KGZVX PXYMA KNSYO VUTVR CKLCH OKUBM XHYAU 
ZEMZO TELWH FAVAH MZHWP LSMBZ TOZOB OXYKQ AGV

The 5 polyalphabet keys are as follows:

A:    X
B:    M
C:    D
D:    O
E:    A
F:    H
G:    Q
H:    T
I:    Z
J:    W
K:    J
L:    P
M:    I
N:    F
O:    L
P:    V
Q:    B
R:    K
S:    C
T:    U
U:    G
V:    N
W:    Y
X:    S
Y:    R
Z:    E

----------

A:    I
B:    J
C:    D
D:    A
E:    V
F:    F
G:    S
H:    P
I:    Z
J:    B
K:    M
L:    N
M:    Y
N:    G
O:    X
P:    Q
Q:    C
R:    H
S:    R
T:    E
U:    K
V:    T
W:    U
X:    W
Y:    O
Z:    L

----------

A:    O
B:    H
C:    Y
D:    X
E:    Z
F:    N
G:    U
H:    S
I:    J
J:    I
K:    R
L:    Q
M:    L
N:    G
O:    P
P:    E
Q:    D
R:    M
S:    C
T:    V
U:    W
V:    B
W:    T
X:    A
Y:    F
Z:    K

----------

A:    B
B:    Q
C:    T
D:    C
E:    E
F:    L
G:    F
H:    A
I:    Z
J:    H
K:    M
L:    W
M:    D
N:    O
O:    S
P:    R
Q:    X
R:    U
S:    G
T:    Y
U:    K
V:    P
W:    V
X:    N
Y:    J
Z:    I

----------

A:    I
B:    X
C:    R
D:    B
E:    H
F:    N
G:    V
H:    S
I:    P
J:    Y
K:    G
L:    F
M:    Q
N:    D
O:    J
P:    Z
Q:    W
R:    U
S:    M
T:    O
U:    A
V:    T
W:    L
X:    C
Y:    E
Z:    K

----------


